date,btc_etf_net_flow_usd_mn,eth_etf_net_flow_usd_mn
2024-12-13,428.9,23.6
2024-12-16,636.9,51.1
2024-12-17,493.9,144.7
2024-12-18,275.3,2.5
2024-12-19,-671.9,-60.5
2024-12-20,-277.0,-75.1
2024-12-23,-226.5,130.8
2024-12-24,-338.4,53.6
2024-12-25,0.0,0.0
2024-12-26,475.2,117.2
2024-12-27,-287.9,47.7
2024-12-30,-415.1,-55.5
2024-12-31,5.3,36.0
2025-01-01,0.0,0.0
2025-01-02,-242.3,-77.5
2025-01-03,908.1,58.9
2025-01-06,978.6,128.7
2025-01-07,52.4,-86.8
2025-01-08,-568.8,-159.4
2025-01-09,0.0,0.0
2025-01-10,-149.4,-68.5
2025-01-13,-284.1,-39.4
2025-01-14,-209.8,1.2
2025-01-15,755.1,59.7
2025-01-16,626.1,166.6
2025-01-17,1072.8,23.9
2025-01-20,0.0,0.0
2025-01-21,802.6,74.4
2025-01-22,248.7,70.7
2025-01-23,188.7,-14.9
2025-01-24,517.7,9.2
2025-01-27,-457.6,-136.2
2025-01-28,18.4,0.0
2025-01-29,92.0,-4.7
2025-01-30,588.1,67.8
2025-01-31,318.6,27.8
2025-02-03,-234.4,83.6
2025-02-04,340.7,307.8
2025-02-05,66.4,18.1
2025-02-06,-140.2,10.7
2025-02-07,171.3,0.0
2025-02-10,-186.3,-22.5
2025-02-11,-56.7,12.6
2025-02-12,-251.0,-40.9
2025-02-13,-157.8,12.8
2025-02-14,66.2,11.7
2025-02-17,0.0,0.0
2025-02-18,-60.7,4.6
2025-02-19,-71.2,19.0
2025-02-20,-364.8,-13.1
2025-02-21,-62.9,-8.9
2025-02-24,-565.9,-78.0
2025-02-25,-1113.7,-50.1
2025-02-26,-757.8,-94.3
2025-02-27,-275.9,-71.2
2025-02-28,94.3,-41.9
2025-03-03,-74.2,-12.1
2025-03-04,-143.5,14.6
2025-03-05,-38.3,-63.3
2025-03-06,-134.3,-10.0
2025-03-07,-409.3,-23.1
2025-03-10,-372.5,-37.5
2025-03-11,-396.3,-21.6
2025-03-12,13.3,-10.3
2025-03-13,-143.4,-73.6
2025-03-14,41.3,-46.9
2025-03-17,274.6,-7.3
2025-03-18,209.1,-52.8
2025-03-19,11.8,-11.7
2025-03-20,165.7,-12.5
2025-03-21,83.1,-18.6
2025-03-24,79.7,0.0
2025-03-25,26.8,-3.3
2025-03-26,89.6,-5.9
2025-03-27,81.7,-4.2
2025-03-28,-94.9,4.7
2025-03-31,-71.2,6.4
2025-04-01,-157.8,-3.6
2025-04-02,220.8,-51.3
2025-04-03,-99.8,-3.6
2025-04-04,-64.9,2.1
2025-04-07,-109.2,0.0
2025-04-08,-328.0,-3.3
2025-04-09,-127.2,-11.2
2025-04-10,-149.5,-38.8
2025-04-11,-1.0,-29.2
2025-04-14,1.5,-6.0
2025-04-15,76.4,-14.2
2025-04-16,-169.8,-12.1
2025-04-17,106.9,0.0
2025-04-18,0.0,0.0
2025-04-21,387.4,-25.4
2025-04-22,936.5,38.8
2025-04-23,917.0,-23.9
2025-04-24,442.0,63.5
2025-04-25,380.0,104.1
2025-04-28,591.2,64.1
2025-04-29,172.8,18.4
2025-04-30,-56.3,-2.3
2025-05-01,422.5,6.5
2025-05-02,674.9,20.1
2025-05-05,425.5,0.0
2025-05-06,-85.7,-17.9
2025-05-07,142.3,-21.8
2025-05-08,117.4,-16.1
2025-05-09,334.5,17.6
2025-05-12,5.2,-17.6
2025-05-13,-91.4,13.5
2025-05-14,319.5,63.5
2025-05-15,114.9,-39.8
2025-05-16,260.2,22.2
2025-05-19,667.4,13.7
2025-05-20,329.2,64.8
2025-05-21,607.1,0.6
2025-05-22,934.8,110.5
2025-05-23,211.7,58.6
2025-05-26,0.0,0.0
2025-05-27,385.4,38.8
2025-05-28,432.7,84.9
2025-05-29,-346.8,91.9
2025-05-30,-616.1,70.2
2025-06-02,-267.5,78.2
2025-06-03,375.1,109.5
2025-06-04,87.0,57.0
2025-06-05,-278.4,11.3
2025-06-06,-47.8,25.3
2025-06-09,386.2,52.7
2025-06-10,431.2,125.0
2025-06-11,164.6,240.3
2025-06-12,86.3,112.3
2025-06-13,322.7,-2.1
2025-06-16,412.2,21.4
2025-06-17,216.5,11.1
2025-06-18,388.3,19.1
2025-06-19,0.0,0.0
2025-06-20,6.4,-11.3
2025-06-23,350.6,100.7
2025-06-24,588.6,71.3
2025-06-25,547.7,60.4
2025-06-26,226.7,-26.4
2025-06-27,501.2,77.5
2025-06-30,102.1,31.8
2025-07-01,-342.2,40.7
2025-07-02,407.8,-1.9
2025-07-03,601.8,148.5
2025-07-07,216.5,62.1
2025-07-08,80.1,46.7
2025-07-09,215.7,211.3
2025-07-10,1175.6,383.1
2025-07-11,1029.6,204.9
2025-07-14,297.4,259.0
2025-07-15,403.1,192.3
2025-07-16,799.4,726.6
2025-07-17,522.6,602.0
2025-07-18,363.5,402.5
2025-07-21,-131.4,296.5
2025-07-22,-68.0,533.8
2025-07-23,-85.8,332.2
2025-07-24,226.7,231.2
2025-07-25,130.8,452.8
2025-07-28,157.1,65.2
2025-07-29,80.0,218.6
2025-07-30,47.1,5.8
2025-07-31,-114.8,17.0
2025-08-01,-812.3,-152.3
2025-08-04,-323.5,-465.1
2025-08-05,-196.2,73.3
2025-08-06,91.6,35.1
2025-08-07,277.4,222.3
2025-08-08,403.9,461.0
2025-08-11,178.1,1018.8
2025-08-12,65.9,523.9
2025-08-13,86.9,729.1
2025-08-14,230.8,639.6
2025-08-15,-14.1,-59.3
2025-08-18,-121.7,-196.6
2025-08-19,-523.3,-429.6
2025-08-20,-315.9,-240.2
2025-08-21,-194.4,287.6
2025-08-22,-23.2,341.2
2025-08-25,219.1,443.9
2025-08-26,88.1,455.0
2025-08-27,81.4,309.5
2025-08-28,178.9,39.1
2025-08-29,-126.7,-164.6
2025-09-02,332.8,-135.3
2025-09-03,300.5,-38.2
2025-09-04,-222.9,-167.3
2025-09-05,-160.1,-446.8
2025-09-08,364.3,-96.7
2025-09-09,23.0,44.2
2025-09-10,741.5,171.5
2025-09-11,552.7,113.1
2025-09-12,642.4,405.5
2025-09-15,259.9,359.7
2025-09-16,292.3,-61.7
2025-09-17,-51.3,-1.9
2025-09-18,163.0,213.1
2025-09-19,222.6,47.8
2025-09-22,-363.1,-76.0
2025-09-23,-103.8,-140.8
2025-09-24,241.0,-79.4
2025-09-25,-253.4,-251.2
2025-09-26,-418.3,-248.4
2025-09-29,518.0,546.9
2025-09-30,429.9,127.5
2025-10-01,675.8,80.9
2025-10-02,627.2,307.1
2025-10-03,985.1,233.5
2025-10-06,1205.2,181.8
2025-10-07,875.6,420.9
2025-10-08,440.7,69.1
2025-10-09,197.8,-8.7
2025-10-10,-4.5,-174.9
2025-10-13,-326.4,-428.5
2025-10-14,102.7,236.2
2025-10-15,-104.1,169.6
2025-10-16,-530.9,-56.8
2025-10-17,-366.6,-232.3
2025-10-20,-40.4,-145.7
2025-10-21,477.2,141.7
2025-10-22,-101.4,-18.9
2025-10-23,20.3,-127.4
2025-10-24,90.6,-93.6
2025-10-27,149.3,133.9
2025-10-28,202.4,246.0
2025-10-29,-470.7,-81.4
2025-10-30,-488.4,-184.2
2025-10-31,-191.6,-98.2
2025-11-03,-186.5,-135.7
2025-11-04,-566.4,-219.4
2025-11-05,-137.0,-118.5
2025-11-06,239.9,12.5
2025-11-07,-558.4,-46.6
2025-11-10,1.2,0.0
2025-11-11,524.0,-107.1
2025-11-12,-278.1,-183.7
2025-11-13,-866.7,-259.6
2025-11-14,-492.1,-177.9
2025-11-17,-254.6,-182.7
2025-11-18,-372.8,-74.2
2025-11-19,75.4,-37.4
2025-11-20,-903.2,-261.6
2025-11-21,238.4,55.7
2025-11-24,-151.0,96.6
2025-11-25,128.7,78.6
2025-11-26,21.1,60.8
2025-11-28,71.4,76.6
2025-12-01,8.5,-79.0
2025-12-02,58.5,-9.9
2025-12-03,-14.9,140.2
2025-12-04,-194.6,-41.5
2025-12-05,54.8,-75.2
2025-12-08,-60.4,35.5
2025-12-09,151.9,177.7
2025-12-10,223.5,57.6
2025-12-11,-77.5,-42.3
2025-12-12,-2.0,-42.6
